file_name,text
01.jpg,"Elon Musk looking to the right"
02.jpg,"Elon Musk speaking"
03.jpg,"Elon Musk smoking a blunt"
04.jpg,"Elon Musk looking cool in a smoking"
05.jpg,"Elon Musk close up"
06.jpg,"Elon Musk making a weird face and pointing outward with his thumbs"
07.jpg,"Elon musk smiling happily"
08.jpg,"Elon Musk smiling with a bit fewer hair"
09.jpg,"Elon Musk standing in front of his rocket named Starship"
10.jpg,"Elong Musk talking and gesturing"
11.jpg,"A Vision of the Starship landed on the Moon"
12.jpg,"A picture of the starship from far away with a boat in the front"
13.jpg,"The Starship launch station from above"
14.jpg,"The Starship launch station from the side and close up"
15.jpg,"The Starship launch station from the side with the full Starship rocket visible"
16.jpg,"The Starship a few seconds after takeoff with lots of smoke"
17.jpg,"The Starship launch station from the side at sunset, close up"
